0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,label
0,0,2,1,0,17,1,3,0,11,2,9,0,1,3,5,0,14,1,8,0,17,1,3,7,7,111
0,17,1,3,0,11,2,9,0,1,3,5,0,14,1,8,0,17,1,3,0,14,1,8,8,8,-1
0,12,3,7,0,0,2,1,0,19,1,4,0,19,1,4,0,7,2,6,0,4,1,2,6,6,119
0,0,2,1,0,19,1,4,0,19,1,4,0,7,2,6,0,4,1,2,0,22,1,1,7,7,-1
0,12,3,7,0,0,2,1,0,21,3,4,0,4,1,2,0,17,1,3,0,8,1,7,6,6,99
0,0,2,1,0,21,3,4,0,4,1,2,0,17,1,3,0,8,1,7,0,2,3,3,7,7,107
0,21,3,4,0,4,1,2,0,17,1,3,0,8,1,7,0,2,3,3,0,10,2,8,8,8,-1
0,12,3,7,0,0,2,1,0,23,3,2,0,22,1,1,0,4,1,2,0,11,2,9,6,6,108
0,0,2,1,0,23,3,2,0,22,1,1,0,4,1,2,0,11,2,9,0,11,2,9,7,7,-1
0,12,3,7,0,4,1,2,0,11,2,9,0,8,1,7,0,18,2,2,0,18,2,2,6,6,97
0,4,1,2,0,11,2,9,0,8,1,7,0,18,2,2,0,18,2,2,0,0,2,1,7,7,-1
0,12,3,7,0,4,1,2,0,17,1,3,0,2,3,3,0,4,1,2,0,3,2,3,6,6,101
0,4,1,2,0,17,1,3,0,2,3,3,0,4,1,2,0,3,2,3,0,4,1,2,7,7,115
0,17,1,3,0,2,3,3,0,4,1,2,0,3,2,3,0,4,1,2,0,18,2,2,8,8,-1
0,12,3,7,0,8,1,7,0,2,3,3,0,7,2,6,0,0,2,1,0,4,1,2,6,6,108
0,8,1,7,0,2,3,3,0,7,2,6,0,0,2,1,0,4,1,2,0,11,2,9,7,7,-1
0,12,3,7,0,8,1,7,0,2,3,3,0,7,2,6,0,4,1,2,0,11,2,9,6,6,108
0,8,1,7,0,2,3,3,0,7,2,6,0,4,1,2,0,11,2,9,0,11,2,9,7,7,101
0,2,3,3,0,7,2,6,0,4,1,2,0,11,2,9,0,11,2,9,0,4,1,2,8,8,-1
0,12,3,7,0,8,1,7,0,3,2,3,0,13,3,6,0,8,1,7,0,6,2,5,6,6,104
0,8,1,7,0,3,2,3,0,13,3,6,0,8,1,7,0,6,2,5,0,7,2,6,7,7,116
0,3,2,3,0,13,3,6,0,8,1,7,0,6,2,5,0,7,2,6,0,19,1,4,8,8,-1
0,12,3,7,0,8,1,7,0,18,2,2,0,19,1,4,0,17,1,3,0,4,1,2,6,6,115
0,8,1,7,0,18,2,2,0,19,1,4,0,17,1,3,0,4,1,2,0,18,2,2,7,7,115
0,18,2,2,0,19,1,4,0,17,1,3,0,4,1,2,0,18,2,2,0,18,2,2,8,8,-1
0,12,3,7,0,14,1,8,0,13,3,6,0,18,2,2,0,19,1,4,0,4,1,2,6,6,114
0,14,1,8,0,13,3,6,0,18,2,2,0,19,1,4,0,4,1,2,0,17,1,3,7,7,-1
0,12,3,7,0,14,1,8,0,20,1,6,0,13,3,6,0,19,1,4,0,0,2,1,6,6,105
0,14,1,8,0,20,1,6,0,13,3,6,0,19,1,4,0,0,2,1,0,8,1,7,7,7,110
0,20,1,6,0,13,3,6,0,19,1,4,0,0,2,1,0,8,1,7,0,13,3,6,8,8,-1
0,12,3,7,0,20,1,6,0,18,2,2,0,19,1,4,0,0,2,1,0,13,3,6,6,6,103
0,20,1,6,0,18,2,2,0,19,1,4,0,0,2,1,0,13,3,6,0,6,2,5,7,7,-1
0,13,3,6,0,0,2,1,0,20,1,6,0,6,2,5,0,7,2,6,0,19,1,4,6,6,121
0,0,2,1,0,20,1,6,0,6,2,5,0,7,2,6,0,19,1,4,0,24,1,5,7,7,-1
0,13,3,6,0,2,3,3,0,2,3,3,2,1,0,0,2,7,0,6,2,0,0,9,6,3,49
0,2,3,3,0,2,3,3,2,1,0,0,2,7,0,6,2,0,0,9,2,1,0,0,7,4,-1
0,13,3,6,0,4,1,2,0,22,1,1,0,24,1,5,0,14,1,8,0,17,1,3,6,6,107
0,4,1,2,0,22,1,1,0,24,1,5,0,14,1,8,0,17,1,3,0,10,2,8,7,7,-1
0,13,3,6,0,8,1,7,0,2,3,3,0,7,2,6,0,14,1,8,0,11,2,9,6,6,97
0,8,1,7,0,2,3,3,0,7,2,6,0,14,1,8,0,11,2,9,0,0,2,1,7,7,115
0,2,3,3,0,7,2,6,0,14,1,8,0,11,2,9,0,0,2,1,0,18,2,2,8,8,-1
0,13,3,6,0,8,1,7,0,15,1,9,0,15,1,9,0,11,2,9,0,4,1,2,6,6,115
0,8,1,7,0,15,1,9,0,15,1,9,0,11,2,9,0,4,1,2,0,18,2,2,7,7,-1
0,15,1,9,0,0,2,1,0,2,3,3,0,10,2,8,0,4,1,2,0,17,1,3,6,6,115
0,0,2,1,0,2,3,3,0,10,2,8,0,4,1,2,0,17,1,3,0,18,2,2,7,7,-1
0,15,1,9,0,0,2,1,0,13,3,6,0,19,1,4,0,7,2,6,0,4,1,2,6,6,114
0,0,2,1,0,13,3,6,0,19,1,4,0,7,2,6,0,4,1,2,0,17,1,3,7,7,-1
0,15,1,9,0,0,2,1,0,13,3,6,0,19,1,4,0,8,1,7,0,4,1,2,6,6,115
0,0,2,1,0,13,3,6,0,19,1,4,0,8,1,7,0,4,1,2,0,18,2,2,7,7,-1
0,15,1,9,0,0,2,1,0,18,2,2,0,18,2,2,0,22,1,1,0,14,1,8,6,6,114
0,0,2,1,0,18,2,2,0,18,2,2,0,22,1,1,0,14,1,8,0,17,1,3,7,7,100
0,18,2,2,0,18,2,2,0,22,1,1,0,14,1,8,0,17,1,3,0,3,2,3,8,8,-1
0,15,1,9,0,0,2,1,0,19,1,4,0,17,1,3,0,8,1,7,0,2,3,3,6,6,107
0,0,2,1,0,19,1,4,0,17,1,3,0,8,1,7,0,2,3,3,0,10,2,8,7,7,-1
0,15,1,9,0,4,1,2,0,0,2,1,0,2,3,3,0,7,2,6,0,4,1,2,6,6,115
0,4,1,2,0,0,2,1,0,2,3,3,0,7,2,6,0,4,1,2,0,18,2,2,7,7,-1
0,15,1,9,0,7,2,6,0,0,2,1,0,13,3,6,0,19,1,4,0,14,1,8,6,6,109
0,7,2,6,0,0,2,1,0,13,3,6,0,19,1,4,0,14,1,8,0,12,3,7,7,7,-1
0,15,1,9,0,7,2,6,0,14,1,8,0,4,1,2,0,13,3,6,0,8,1,7,6,6,120
0,7,2,6,0,14,1,8,0,4,1,2,0,13,3,6,0,8,1,7,0,23,3,2,7,7,-1
0,15,1,9,0,14,1,8,0,17,1,3,0,18,2,2,0,2,3,3,0,7,2,6,6,6,101
0,14,1,8,0,17,1,3,0,18,2,2,0,2,3,3,0,7,2,6,0,4,1,2,7,7,-1
0,15,1,9,0,17,1,3,0,8,1,7,0,13,3,6,0,2,3,3,0,4,1,2,6,6,115
0,17,1,3,0,8,1,7,0,13,3,6,0,2,3,3,0,4,1,2,0,18,2,2,7,7,115
0,8,1,7,0,13,3,6,0,2,3,3,0,4,1,2,0,18,2,2,0,18,2,2,8,8,-1
0,15,1,9,0,17,1,3,0,8,1,7,0,21,3,4,0,0,2,1,0,19,1,4,6,6,101
0,17,1,3,0,8,1,7,0,21,3,4,0,0,2,1,0,19,1,4,0,4,1,2,7,7,-1
0,15,1,9,0,20,1,6,0,18,2,2,0,18,2,2,0,8,1,7,0,4,1,2,6,6,115
0,20,1,6,0,18,2,2,0,18,2,2,0,8,1,7,0,4,1,2,0,18,2,2,7,7,-1
0,16,1,0,0,22,1,1,0,4,1,2,0,17,1,3,0,19,1,4,0,24,1,5,6,6,117
0,22,1,1,0,4,1,2,0,17,1,3,0,19,1,4,0,24,1,5,0,20,1,6,7,7,105
0,4,1,2,0,17,1,3,0,19,1,4,0,24,1,5,0,20,1,6,0,8,1,7,8,8,-1
0,17,1,3,0,0,2,1,0,8,1,7,0,3,2,3,0,4,1,2,0,17,1,3,6,6,115
0,0,2,1,0,8,1,7,0,3,2,3,0,4,1,2,0,17,1,3,0,18,2,2,7,7,-1
0,17,1,3,0,0,2,1,0,8,1,7,0,13,3,6,0,1,3,5,0,14,1,8,6,6,119
0,0,2,1,0,8,1,7,0,13,3,6,0,1,3,5,0,14,1,8,0,22,1,1,7,7,-1
0,17,1,3,0,0,2,1,0,13,3,6,0,6,2,5,0,4,1,2,0,17,1,3,6,6,115
0,0,2,1,0,13,3,6,0,6,2,5,0,4,1,2,0,17,1,3,0,18,2,2,7,7,-1
0,17,1,3,0,4,1,2,0,1,3,5,0,4,1,2,0,2,3,3,0,2,3,3,6,6,97
0,4,1,2,0,1,3,5,0,4,1,2,0,2,3,3,0,2,3,3,0,0,2,1,7,7,-1
0,17,1,3,0,4,1,2,0,3,2,3,0,18,2,2,0,10,2,8,0,8,1,7,6,6,110
0,4,1,2,0,3,2,3,0,18,2,2,0,10,2,8,0,8,1,7,0,13,3,6,7,7,115
0,3,2,3,0,18,2,2,0,10,2,8,0,8,1,7,0,13,3,6,0,18,2,2,8,8,-1
0,17,1,3,0,4,1,2,0,3,2,3,0,22,1,1,0,8,1,7,0,13,3,6,6,6,103
0,4,1,2,0,3,2,3,0,22,1,1,0,8,1,7,0,13,3,6,0,6,2,5,7,7,115
0,3,2,3,0,22,1,1,0,8,1,7,0,13,3,6,0,6,2,5,0,18,2,2,8,8,-1
0,17,1,3,0,8,1,7,0,2,3,3,0,7,2,6,0,0,2,1,0,17,1,3,6,6,100
0,8,1,7,0,2,3,3,0,7,2,6,0,0,2,1,0,17,1,3,0,3,2,3,7,7,-1
0,17,1,3,0,14,1,8,0,18,2,2,0,4,1,2,0,1,3,5,0,20,1,6,6,6,100
0,14,1,8,0,18,2,2,0,4,1,2,0,1,3,5,0,20,1,6,0,3,2,3,7,7,-1
0,17,1,3,0,20,1,6,0,18,2,2,0,7,2,6,2,2,0,1,2,1,0,0,6,2,49
0,20,1,6,0,18,2,2,0,7,2,6,2,2,0,1,2,1,0,0,2,1,0,0,7,3,50
0,18,2,2,0,7,2,6,2,2,0,1,2,1,0,0,2,1,0,0,2,2,0,1,8,4,-1
0,18,2,2,0,0,2,1,0,12,3,7,0,0,2,1,0,13,3,6,0,19,1,4,6,6,104
0,0,2,1,0,12,3,7,0,0,2,1,0,13,3,6,0,19,1,4,0,7,2,6,7,7,97
0,12,3,7,0,0,2,1,0,13,3,6,0,19,1,4,0,7,2,6,0,0,2,1,8,8,-1
0,18,2,2,0,2,3,3,0,14,1,8,0,14,1,8,0,19,1,4,0,4,1,2,6,6,114
0,2,3,3,0,14,1,8,0,14,1,8,0,19,1,4,0,4,1,2,0,17,1,3,7,7,-1
0,18,2,2,0,2,3,3,0,14,1,8,0,17,1,3,0,15,1,9,0,8,1,7,6,6,111
0,2,3,3,0,14,1,8,0,17,1,3,0,15,1,9,0,8,1,7,0,14,1,8,7,7,-1
0,18,2,2,0,2,3,3,0,14,1,8,0,17,1,3,0,15,1,9,0,8,1,7,6,6,111
0,2,3,3,0,14,1,8,0,17,1,3,0,15,1,9,0,8,1,7,0,14,1,8,7,7,110
0,14,1,8,0,17,1,3,0,15,1,9,0,8,1,7,0,14,1,8,0,13,3,6,8,8,-1
0,18,2,2,0,7,2,6,0,0,2,1,0,13,3,6,0,13,3,6,0,14,1,8,6,6,110
0,7,2,6,0,0,2,1,0,13,3,6,0,13,3,6,0,14,1,8,0,13,3,6,7,7,-1
0,18,2,2,0,17,1,3,0,8,1,7,0,13,3,6,0,8,1,7,0,21,3,4,6,6,97
0,17,1,3,0,8,1,7,0,13,3,6,0,8,1,7,0,21,3,4,0,0,2,1,7,7,115
0,8,1,7,0,13,3,6,0,8,1,7,0,21,3,4,0,0,2,1,0,18,2,2,8,8,-1
0,18,2,2,0,19,1,4,0,0,2,1,0,17,1,3,0,19,1,4,0,17,1,3,6,6,101
0,19,1,4,0,0,2,1,0,17,1,3,0,19,1,4,0,17,1,3,0,4,1,2,7,7,107
0,0,2,1,0,17,1,3,0,19,1,4,0,17,1,3,0,4,1,2,0,10,2,8,8,8,-1
0,18,2,2,0,19,1,4,0,0,2,1,0,17,1,3,0,22,1,1,0,0,2,1,6,6,114
0,19,1,4,0,0,2,1,0,17,1,3,0,22,1,1,0,0,2,1,0,17,1,3,7,7,115
0,0,2,1,0,17,1,3,0,22,1,1,0,0,2,1,0,17,1,3,0,18,2,2,8,8,-1
0,18,2,2,0,19,1,4,0,4,1,2,0,4,1,2,0,11,2,9,0,4,1,2,6,6,114
0,19,1,4,0,4,1,2,0,4,1,2,0,11,2,9,0,4,1,2,0,17,1,3,7,7,115
0,4,1,2,0,4,1,2,0,11,2,9,0,4,1,2,0,17,1,3,0,18,2,2,8,8,-1
0,18,2,2,0,20,1,6,0,2,3,3,0,2,3,3,0,4,1,2,0,18,2,2,6,6,115
0,20,1,6,0,2,3,3,0,2,3,3,0,4,1,2,0,18,2,2,0,18,2,2,7,7,-1
0,18,2,2,0,20,1,6,0,13,3,6,0,18,2,2,0,7,2,6,0,8,1,7,6,6,110
0,20,1,6,0,13,3,6,0,18,2,2,0,7,2,6,0,8,1,7,0,13,3,6,7,7,101
0,13,3,6,0,18,2,2,0,7,2,6,0,8,1,7,0,13,3,6,0,4,1,2,8,8,-1
0,18,2,2,0,20,1,6,0,15,1,9,0,4,1,2,0,17,1,3,0,12,3,7,6,6,97
0,20,1,6,0,15,1,9,0,4,1,2,0,17,1,3,0,12,3,7,0,0,2,1,7,7,110
0,15,1,9,0,4,1,2,0,17,1,3,0,12,3,7,0,0,2,1,0,13,3,6,8,8,-1
0,18,2,2,0,22,1,1,0,8,1,7,0,12,3,7,0,12,3,7,0,8,1,7,6,6,110
0,22,1,1,0,8,1,7,0,12,3,7,0,12,3,7,0,8,1,7,0,13,3,6,7,7,103
0,8,1,7,0,12,3,7,0,12,3,7,0,8,1,7,0,13,3,6,0,6,2,5,8,8,-1
0,19,1,4,0,4,1,2,0,18,2,2,0,19,1,4,0,8,1,7,0,13,3,6,6,6,103
0,4,1,2,0,18,2,2,0,19,1,4,0,8,1,7,0,13,3,6,0,6,2,5,7,7,-1
0,19,1,4,0,7,2,6,0,20,1,6,0,13,3,6,0,3,2,3,0,4,1,2,6,6,114
0,7,2,6,0,20,1,6,0,13,3,6,0,3,2,3,0,4,1,2,0,17,1,3,7,7,-1
0,19,1,4,0,7,2,6,0,23,3,2,2,1,0,0,2,1,0,0,2,3,0,2,6,3,56
0,7,2,6,0,23,3,2,2,1,0,0,2,1,0,0,2,3,0,2,2,8,0,7,7,4,-1
0,19,1,4,0,8,1,7,0,5,2,4,0,5,2,4,0,0,2,1,0,13,3,6,6,6,121
0,8,1,7,0,5,2,4,0,5,2,4,0,0,2,1,0,13,3,6,0,24,1,5,7,7,-1
0,19,1,4,0,17,1,3,0,14,1,8,0,20,1,6,0,1,3,5,0,11,2,9,6,6,101
0,17,1,3,0,14,1,8,0,20,1,6,0,1,3,5,0,11,2,9,0,4,1,2,7,7,-1
0,19,1,4,0,17,1,3,0,20,1,6,0,18,2,2,0,19,1,4,0,13,3,6,6,6,111
0,17,1,3,0,20,1,6,0,18,2,2,0,19,1,4,0,13,3,6,0,14,1,8,7,7,49
0,20,1,6,0,18,2,2,0,19,1,4,0,13,3,6,0,14,1,8,2,1,0,0,8,1,-1
0,21,3,4,0,8,1,7,0,2,3,3,0,19,1,4,0,14,1,8,0,17,1,3,6,6,105
0,8,1,7,0,2,3,3,0,19,1,4,0,14,1,8,0,17,1,3,0,8,1,7,7,7,97
0,2,3,3,0,19,1,4,0,14,1,8,0,17,1,3,0,8,1,7,0,0,2,1,8,8,-1
0,21,3,4,0,14,1,8,0,24,1,5,0,0,2,1,0,6,2,5,0,4,1,2,6,6,114
0,14,1,8,0,24,1,5,0,0,2,1,0,6,2,5,0,4,1,2,0,17,1,3,7,7,-1
0,22,1,1,0,0,2,1,0,17,1,3,0,17,1,3,0,8,1,7,0,14,1,8,6,6,114
0,0,2,1,0,17,1,3,0,17,1,3,0,8,1,7,0,14,1,8,0,17,1,3,7,7,-1
0,22,1,1,0,4,1,2,0,11,2,9,0,2,3,3,0,14,1,8,0,12,3,7,6,6,101
0,4,1,2,0,11,2,9,0,2,3,3,0,14,1,8,0,12,3,7,0,4,1,2,7,7,-1
0,22,1,1,0,7,2,6,0,0,2,1,0,19,1,4,0,4,1,2,0,21,3,4,6,6,101
0,7,2,6,0,0,2,1,0,19,1,4,0,4,1,2,0,21,3,4,0,4,1,2,7,7,114
0,0,2,1,0,19,1,4,0,4,1,2,0,21,3,4,0,4,1,2,0,17,1,3,8,8,-1
0,22,1,1,0,8,1,7,0,11,2,9,0,11,2,9,0,8,1,7,0,0,2,1,6,6,109
0,8,1,7,0,11,2,9,0,11,2,9,0,8,1,7,0,0,2,1,0,12,3,7,7,7,-1
0,22,1,1,0,8,1,7,0,13,3,6,0,18,2,2,0,19,1,4,0,14,1,8,6,6,110
0,8,1,7,0,13,3,6,0,18,2,2,0,19,1,4,0,14,1,8,0,13,3,6,7,7,-1
0,23,3,2,0,23,3,2,0,23,3,2,0,23,3,2,0,23,3,2,0,23,3,2,6,6,120
0,23,3,2,0,23,3,2,0,23,3,2,0,23,3,2,0,23,3,2,0,23,3,2,7,7,120
0,23,3,2,0,23,3,2,0,23,3,2,0,23,3,2,0,23,3,2,0,23,3,2,8,8,-1
0,24,1,5,0,0,2,1,0,13,3,6,0,10,2,8,0,4,1,2,0,4,1,2,6,6,115
0,0,2,1,0,13,3,6,0,10,2,8,0,4,1,2,0,4,1,2,0,18,2,2,7,7,-1
0,25,3,1,0,23,3,2,0,2,3,3,0,21,3,4,0,1,3,5,0,13,3,6,6,6,109
0,23,3,2,0,2,3,3,0,21,3,4,0,1,3,5,0,13,3,6,0,12,3,7,7,7,-1
